variable,test statistic,p.value,response,response1,response2,samples,runtime,method,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,3.693956605061624,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.3000227346307565,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.764454630644595,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,1,1,1,1,1
Noise,2.8685862912963844,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.009838449590435,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.326985222865414,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.5157638008799785,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,1,1,1,1,1
Noise,3.9246689683463676,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.436184709920331,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.592733952808588,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.284851874444267,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,1,1,1,1,1
Noise,4.33191986537484,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.2595155125297834,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.367992260769832,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.109527495722873,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,1,1,1,1,1
Noise,3.8969582436825276,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.295116210428271,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.2010074078545765,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.324439356401555,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,1,1,1,1,1
Noise,4.254286778234421,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,1,1,1,1,1
env1,17.296939140738885,0.001,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,0,0,0,0,0
env2,17.05787730417508,0.001,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6194263801751059,0.752,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.943393427337287,0.002,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,1,1,1,1,1
env1,16.775255048004528,0.001,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
env2,16.663466620224412,0.001,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.253521042088474,0.25,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.664557194554783,0.725,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
env1,16.756086253180424,0.001,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,0,0,0,0,0
env2,17.095808856716896,0.001,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.4358403224550225,0.001,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,1,1,1,1,1
Noise,0.7917262768835807,0.646,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,0,0,0,0,0
env1,17.09911129895441,0.001,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env2,16.32040649552265,0.001,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6197582326081738,0.764,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.4570091002386505,0.016,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,1,1,1,1
env1,16.733937669665476,0.001,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
env2,16.17950815444435,0.001,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.7082919584082106,0.687,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.5315543548315251,0.831,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
env1,38.53484998519972,0.001,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.67543043730328,0.001,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.787013140649489,0.001,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,1,1,1,1,1
Noise,1.1798633424712355,0.306,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env1,38.876550951004006,0.001,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.83244507748106,0.001,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.3590706941731128,0.002,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,1,1,1,1,1
Noise,3.530006882165737,0.001,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,1,1,1,1,1
env1,38.52079356438475,0.001,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.4352668221983,0.001,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.5876154441391883,0.13,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.673298348227407,0.009,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,1,1,1,1,1
env1,38.32677162975154,0.001,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.06151831523159,0.001,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.3373552058758467,0.207,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.384985633288156,0.211,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
env1,38.07961487584397,0.001,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
env2,37.90962477599546,0.001,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.5620560222795477,0.009,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,1,1,1,1,1
Noise,1.8839111809192772,0.051,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,1,1
env1,67.9687165914076,0.001,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.9956179370673,0.001,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4025572718125068,0.209,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.290170985696205,0.001,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,1,1,1,1,1
env1,67.22852009398275,0.001,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.29157676401658,0.001,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.463850244086127,0.854,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.5444902620497665,0.847,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
env1,67.67791656720874,0.001,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.77520969404688,0.001,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.638792686799274,0.13,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.004405074969621,0.042,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,1,1,1
env1,67.61401944081335,0.001,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.28859643273836,0.001,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.6153403905715358,0.001,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,1,1,1,1,1
Noise,0.8629633069479652,0.57,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
env1,66.96339208840828,0.001,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.57824646734775,0.001,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.284836031746261,0.26,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.8331983165275298,0.578,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
env1,106.34300985883993,0.001,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.5557086074951,0.001,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.3313265670984602,0.217,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.0060081943823334,0.001,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,1,1,1,1,1
env1,106.69150411635466,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.50233064855662,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.036700597393795,0.005,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,1,1,1,1,1
Noise,2.037170429428024,0.05,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,1,1
env1,106.41865579417058,0.001,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.51283001807158,0.001,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4918687683211815,0.172,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.458101643266518,0.002,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,1,1,1,1,1
env1,106.18331044155578,0.001,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
env2,105.94045270536202,0.001,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.47324029253566047,0.898,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4912518628636806,0.161,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
env1,105.36574680223255,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.3396950712469,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.730051400075699,0.01,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,1,1,1,1
Noise,2.363362556176892,0.012,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,1,1,1,1
env1,152.90542097037013,0.001,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,0,0,0,0,0
env2,152.9895436033234,0.001,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6386030019944885,0.777,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.459865372956263,0.002,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,1,1,1,1,1
env1,152.33201332709513,0.001,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
env2,152.02007028958036,0.001,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4335934162942634,0.18,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.2716612465458871,0.979,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
