variable,samples,response,method,test statistic,runtime,p.value,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,25,UU,CQO,6.622482635373672,38.649,0,0,0,0,0,0,0,0,0,0,0
env2,25,UU,CQO,6.614415723199002,38.649,0,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.0022133742019480106,38.649,0.9306930693069307,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.004271836993652025,38.649,0.8514851485148515,0,0,0,0,0,0,0,0,0,0
env1,25,UU,CQO,6.718877459162424,32.66799999999989,0,0,0,0,0,0,0,0,0,0,0
env2,25,UU,CQO,6.722313703641079,32.66799999999989,0,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.006367564181417857,32.66799999999989,0.7722772277227723,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.004906566686314258,32.66799999999989,0.8316831683168316,0,0,0,0,0,0,0,0,0,0
env1,25,UU,CQO,6.729284701638342,30.78399999999965,0,0,0,0,0,0,0,0,0,0,0
env2,25,UU,CQO,6.728300331377893,30.78399999999965,0,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.003261348810494257,30.78399999999965,0.9306930693069307,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.005682348599175709,30.78399999999965,0.801980198019802,0,0,0,0,0,0,0,0,0,0
env1,25,UU,CQO,6.645966577773314,24.528000000000247,0,0,0,0,0,0,0,0,0,0,0
env2,25,UU,CQO,6.656427549258579,24.528000000000247,0,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.002268842258659155,24.528000000000247,0.9702970297029703,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.0093003291971702675,24.528000000000247,0.6534653465346535,0,0,0,0,0,0,0,0,0,0
env1,25,UU,CQO,6.597777410037401,33.679999999999836,0,0,0,0,0,0,0,0,0,0,0
env2,25,UU,CQO,6.586705979048895,33.679999999999836,0,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.005245948797300703,33.679999999999836,0.7722772277227723,0,0,0,0,0,0,0,0,0,0
Noise,25,UU,CQO,0.007423892594408873,33.679999999999836,0.6831683168316832,0,0,0,0,0,0,0,0,0,0
env1,100,UU,CQO,5.9436737884436575,56.875999999999294,0,0,0,0,0,0,0,0,0,0,0
env2,100,UU,CQO,5.943729651881893,56.875999999999294,0,0,0,0,0,0,0,0,0,0,0
Noise,100,UU,CQO,0.0012816597195637461,56.875999999999294,0.7227722772277227,0,0,0,0,0,0,0,0,0,0
Noise,100,UU,CQO,6.595559380692871e-4,56.875999999999294,0.8712871287128713,0,0,0,0,0,0,0,0,0,0
env1,100,UU,CQO,4.977559246065217,52.15700000000015,0,0,0,0,0,0,0,0,0,0,0
env2,100,UU,CQO,4.977630026447813,52.15700000000015,0,0,0,0,0,0,0,0,0,0,0
Noise,100,UU,CQO,7.708617388149481e-4,52.15700000000015,0.8712871287128713,0,0,0,0,0,0,0,0,0,0
Noise,100,UU,CQO,1.9959338524039213e-4,52.15700000000015,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,100,UU,CQO,5.137608332781183,48.490999999999985,0,0,0,0,0,0,0,0,0,0,0
env2,100,UU,CQO,5.137908784822502,48.490999999999985,0,0,0,0,0,0,0,0,0,0,0
