variable,test statistic,p.value,response,samples,runtime,method,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,1.5662070606480443,0.002,UU,25,0.08999999999999986,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.6786119662303012,0.001,UU,25,0.08999999999999986,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.7172995777896458,0.962,UU,25,0.08999999999999986,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.5629628344679147,1,UU,25,0.08999999999999986,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.8056156763224356,0.001,UU,25,0.03000000000000025,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.644355144755867,0.001,UU,25,0.03000000000000025,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.388017319886216,0.019,UU,25,0.03000000000000025,dbrda,0,0,0,0,0,0,1,1,1,1
Noise,1.0248228087832674,0.429,UU,25,0.03000000000000025,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.5705678057593142,0.004,UU,25,0.11000000000000032,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.7332026456862517,0.001,UU,25,0.11000000000000032,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.997571100631584,0.483,UU,25,0.11000000000000032,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.1412284625777172,0.177,UU,25,0.11000000000000032,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.5933168056244387,0.001,UU,25,0.04999999999999982,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.7011854995624465,0.001,UU,25,0.04999999999999982,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.9032141369460958,0.754,UU,25,0.04999999999999982,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.8144062495852136,0.873,UU,25,0.04999999999999982,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.7588501327096193,0.001,UU,25,0.030000000000001137,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.7797574598624644,0.001,UU,25,0.030000000000001137,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.0643217094206259,0.353,UU,25,0.030000000000001137,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.2716117452008233,0.06,UU,25,0.030000000000001137,dbrda,0,0,0,0,0,0,0,0,1,1
env1,8.708085205351859,0.001,UU,100,0.1899999999999995,dbrda,0,0,0,0,0,0,0,0,0,0
env2,8.292350829691717,0.001,UU,100,0.1899999999999995,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.1172393385081991,0.331,UU,100,0.1899999999999995,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.3844275949728833,0.128,UU,100,0.1899999999999995,dbrda,0,0,0,0,0,0,0,0,0,0
env1,8.013677567587141,0.001,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
env2,8.54122275013588,0.001,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.0017878102321156,0.477,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.8648877581846057,0.64,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
env1,8.617750696213143,0.001,UU,100,0.1399999999999988,dbrda,0,0,0,0,0,0,0,0,0,0
env2,8.617313322851107,0.001,UU,100,0.1399999999999988,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.041920340375078,0.396,UU,100,0.1399999999999988,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.378571075162367,0.119,UU,100,0.1399999999999988,dbrda,0,0,0,0,0,0,0,0,0,0
env1,8.873314499515851,0.001,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
env2,8.739658948412,0.001,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.0822237084983435,0.346,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.338483590167954,0.127,UU,100,0.16000000000000014,dbrda,0,0,0,0,0,0,0,0,0,0
env1,7.6895497813210785,0.001,UU,100,0.2400000000000002,dbrda,0,0,0,0,0,0,0,0,0,0
env2,8.553938575059778,0.001,UU,100,0.2400000000000002,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.2989597590730444,0.123,UU,100,0.2400000000000002,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.1377785411161236,0.286,UU,100,0.2400000000000002,dbrda,0,0,0,0,0,0,0,0,0,0
env1,21.12008687934225,0.001,UU,225,0.5,dbrda,0,0,0,0,0,0,0,0,0,0
env2,20.9504781355786,0.001,UU,225,0.5,dbrda,0,0,0,0,0,0,0,0,0,0
