variable,test statistic,p.value,response,samples,runtime,method,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,1.746991404902832,0.001,UU,25,0.04800000000000182,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.746991404902832,0.001,UU,25,0.04800000000000182,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.8765429169574005,0.786,UU,25,0.04800000000000182,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.1983422822822885,0.115,UU,25,0.04800000000000182,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.765603002566569,0.001,UU,25,0.04299999999999926,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.7656030025665612,0.001,UU,25,0.04299999999999926,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.2625091440192446,0.054,UU,25,0.04299999999999926,dbrda,0,0,0,0,0,0,0,0,1,1
Noise,1.0475511571976002,0.377,UU,25,0.04299999999999926,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.729807392796292,0.001,UU,25,0.046999999999997044,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.7298073927962883,0.001,UU,25,0.046999999999997044,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.7596125570960762,0.919,UU,25,0.046999999999997044,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.0981364310266633,0.265,UU,25,0.046999999999997044,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.7335095007741703,0.001,UU,25,0.03999999999999915,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.733509500774174,0.001,UU,25,0.03999999999999915,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,1.0083527989218652,0.47,UU,25,0.03999999999999915,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.8961758175251832,0.718,UU,25,0.03999999999999915,dbrda,0,0,0,0,0,0,0,0,0,0
env1,1.7274980659481962,0.001,UU,25,0.05999999999999517,dbrda,0,0,0,0,0,0,0,0,0,0
env2,1.7274980659482038,0.001,UU,25,0.05999999999999517,dbrda,0,0,0,0,0,0,0,0,0,0
Noise,0.9593395657490812,0.609,UU,25,0.05999999999999517,dbrda,0,0,0,0,0,0,0,0,0,0
