variable,test statistic,p.value,response,samples,runtime,method,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,44.59042111850026,0.002997002997002997,UU,25,238.29399999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env2,41.39694708288627,0.016983016983016984,UU,25,238.29399999999998,mvglm,1,0,0,0,0,0,0,0,0,0
Noise,16.288080984897775,0.22777222777222778,UU,25,238.29399999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,12.511420296744106,0.6843156843156843,UU,25,238.29399999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env1,44.59042111850026,9.99000999000999e-4,UU,25,238.50699999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env2,41.39694708288627,0.00999000999000999,UU,25,238.50699999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,14.463670282590797,0.35264735264735264,UU,25,238.50699999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,29.84881294112948,0.4245754245754246,UU,25,238.50699999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env1,44.59042111850026,0.002997002997002997,UU,25,246.543,mvglm,0,0,0,0,0,0,0,0,0,0
env2,41.39694708288627,0.022977022977022976,UU,25,246.543,mvglm,1,0,0,0,0,0,0,0,0,0
Noise,21.31144678387345,0.13386613386613386,UU,25,246.543,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,195.91057258674243,0.25574425574425574,UU,25,246.543,mvglm,0,0,0,0,0,0,0,0,0,0
env1,44.59042111850026,9.99000999000999e-4,UU,25,229.54000000000008,mvglm,0,0,0,0,0,0,0,0,0,0
env2,41.39694708288627,0.016983016983016984,UU,25,229.54000000000008,mvglm,1,0,0,0,0,0,0,0,0,0
Noise,33.893361951121165,0.08291708291708291,UU,25,229.54000000000008,mvglm,0,0,0,0,0,0,0,0,0,1
Noise,19.761349678913234,0.5674325674325674,UU,25,229.54000000000008,mvglm,0,0,0,0,0,0,0,0,0,0
env1,44.59042111850026,0.003996003996003996,UU,25,263.9469999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env2,41.39694708288627,0.012987012987012988,UU,25,263.9469999999999,mvglm,1,0,0,0,0,0,0,0,0,0
Noise,38.04736866750477,0.05994005994005994,UU,25,263.9469999999999,mvglm,0,0,0,0,0,0,0,0,1,1
Noise,22.04856544829987,0.6303696303696303,UU,25,263.9469999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env1,200.74306849205294,9.99000999000999e-4,UU,100,1013.3419999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env2,204.20434158782723,9.99000999000999e-4,UU,100,1013.3419999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,11.282787311883851,0.5334665334665335,UU,100,1013.3419999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,16.87996510670854,0.3926073926073926,UU,100,1013.3419999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env1,200.74306849205294,9.99000999000999e-4,UU,100,850.0340000000001,mvglm,0,0,0,0,0,0,0,0,0,0
env2,204.20434158782723,9.99000999000999e-4,UU,100,850.0340000000001,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,10.482886410780168,0.6403596403596403,UU,100,850.0340000000001,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.217342642647395,0.8661338661338661,UU,100,850.0340000000001,mvglm,0,0,0,0,0,0,0,0,0,0
env1,200.74306849205294,9.99000999000999e-4,UU,100,860.6439999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env2,204.20434158782723,9.99000999000999e-4,UU,100,860.6439999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,11.390545901244309,0.5514485514485514,UU,100,860.6439999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,16.04993319112674,0.2957042957042957,UU,100,860.6439999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env1,200.74306849205294,9.99000999000999e-4,UU,100,897.4020000000005,mvglm,0,0,0,0,0,0,0,0,0,0
env2,204.20434158782723,9.99000999000999e-4,UU,100,897.4020000000005,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.9898360385037677,0.971028971028971,UU,100,897.4020000000005,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,9.116124521697998,0.6723276723276723,UU,100,897.4020000000005,mvglm,0,0,0,0,0,0,0,0,0,0
env1,200.74306849205294,9.99000999000999e-4,UU,100,939.4699999999993,mvglm,0,0,0,0,0,0,0,0,0,0
env2,204.20434158782723,9.99000999000999e-4,UU,100,939.4699999999993,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,18.814650979940666,0.22077922077922077,UU,100,939.4699999999993,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.2860520007660057,0.9760239760239761,UU,100,939.4699999999993,mvglm,0,0,0,0,0,0,0,0,0,0
env1,495.3849683019274,9.99000999000999e-4,UU,225,2055.0109999999995,mvglm,0,0,0,0,0,0,0,0,0,0
env2,514.943098078782,9.99000999000999e-4,UU,225,2055.0109999999995,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,13.21610615185125,0.4885114885114885,UU,225,2055.0109999999995,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,20.708626267780005,0.21078921078921078,UU,225,2055.0109999999995,mvglm,0,0,0,0,0,0,0,0,0,0
env1,495.3849683019274,9.99000999000999e-4,UU,225,1878.7289999999994,mvglm,0,0,0,0,0,0,0,0,0,0
env2,514.943098078782,9.99000999000999e-4,UU,225,1878.7289999999994,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,11.131212174926304,0.6073926073926074,UU,225,1878.7289999999994,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,14.633605245685203,0.3996003996003996,UU,225,1878.7289999999994,mvglm,0,0,0,0,0,0,0,0,0,0
env1,495.3849683019274,9.99000999000999e-4,UU,225,1894.161,mvglm,0,0,0,0,0,0,0,0,0,0
env2,514.943098078782,9.99000999000999e-4,UU,225,1894.161,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,7.423875113917688,0.8541458541458542,UU,225,1894.161,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.334485854867353,0.948051948051948,UU,225,1894.161,mvglm,0,0,0,0,0,0,0,0,0,0
env1,495.3849683019274,9.99000999000999e-4,UU,225,1886.0820000000003,mvglm,0,0,0,0,0,0,0,0,0,0
env2,514.943098078782,9.99000999000999e-4,UU,225,1886.0820000000003,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.031110640341126,0.9250749250749251,UU,225,1886.0820000000003,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.701464198568374,0.98001998001998,UU,225,1886.0820000000003,mvglm,0,0,0,0,0,0,0,0,0,0
env1,495.3849683019274,9.99000999000999e-4,UU,225,1838.1619999999984,mvglm,0,0,0,0,0,0,0,0,0,0
env2,514.943098078782,9.99000999000999e-4,UU,225,1838.1619999999984,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.607787586667882,0.8861138861138861,UU,225,1838.1619999999984,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,9.7111504763202,0.6723276723276723,UU,225,1838.1619999999984,mvglm,0,0,0,0,0,0,0,0,0,0
env1,905.7016701031382,9.99000999000999e-4,UU,400,3278.655999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env2,945.228560589027,9.99000999000999e-4,UU,400,3278.655999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,5.502212804268538,0.9370629370629371,UU,400,3278.655999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,10.873043740096819,0.6703296703296703,UU,400,3278.655999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env1,905.7016701031382,9.99000999000999e-4,UU,400,3335.3070000000007,mvglm,0,0,0,0,0,0,0,0,0,0
env2,945.228560589027,9.99000999000999e-4,UU,400,3335.3070000000007,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.386177086796351,0.8951048951048951,UU,400,3335.3070000000007,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,8.196419520764266,0.7892107892107892,UU,400,3335.3070000000007,mvglm,0,0,0,0,0,0,0,0,0,0
env1,905.7016701031382,9.99000999000999e-4,UU,400,3281.811999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env2,945.228560589027,9.99000999000999e-4,UU,400,3281.811999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.4739649615592043,0.98001998001998,UU,400,3281.811999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,9.393258452575083,0.7192807192807192,UU,400,3281.811999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env1,905.7016701031382,9.99000999000999e-4,UU,400,3224.388999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env2,945.228560589027,9.99000999000999e-4,UU,400,3224.388999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,10.82130675068106,0.6563436563436563,UU,400,3224.388999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.2153469146098814,0.985014985014985,UU,400,3224.388999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env1,905.7016701031382,9.99000999000999e-4,UU,400,3364.136999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env2,945.228560589027,9.99000999000999e-4,UU,400,3364.136999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.783462550509057,0.949050949050949,UU,400,3364.136999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.361492092663866,0.9110889110889111,UU,400,3364.136999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1419.3670492894348,9.99000999000999e-4,UU,625,5253.459000000003,mvglm,0,0,0,0,0,0,0,0,0,0
env2,1486.1504422020462,9.99000999000999e-4,UU,625,5253.459000000003,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,5.677417491687265,0.9240759240759241,UU,625,5253.459000000003,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.015278375560683,0.9100899100899101,UU,625,5253.459000000003,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1419.3670492894348,9.99000999000999e-4,UU,625,5337.064000000006,mvglm,0,0,0,0,0,0,0,0,0,0
env2,1486.1504422020462,9.99000999000999e-4,UU,625,5337.064000000006,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.955084007241567,0.8761238761238761,UU,625,5337.064000000006,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.416880989640958,0.8831168831168831,UU,625,5337.064000000006,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1419.3670492894348,9.99000999000999e-4,UU,625,5246.619999999995,mvglm,0,0,0,0,0,0,0,0,0,0
env2,1486.1504422020462,9.99000999000999e-4,UU,625,5246.619999999995,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,13.34268305767182,0.4995004995004995,UU,625,5246.619999999995,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.450817339354671,0.9040959040959041,UU,625,5246.619999999995,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1419.3670492894348,9.99000999000999e-4,UU,625,5251.428,mvglm,0,0,0,0,0,0,0,0,0,0
env2,1486.1504422020462,9.99000999000999e-4,UU,625,5251.428,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.8368783477894794,0.973026973026973,UU,625,5251.428,mvglm,0,0,0,0,0,0,0,0,0,0
